,y,x1,score
0,1,0.587,-0.7562380000000006
1,0,0.607,-0.6457180000000009
2,1,0.921,1.0894459999999988
3,0,0.292,-2.3864080000000003
4,1,0.911,1.0341859999999992
5,0,0.222,-2.7732280000000005
6,1,0.936,1.1723359999999996
7,0,0.462,-1.4469880000000002
8,0,0.368,-1.9664320000000006
9,0,0.213,-2.8229620000000004
10,0,0.854,0.7192039999999986
11,0,0.421,-1.6735540000000007
12,0,0.701,-0.12627400000000089
13,0,0.456,-1.4801440000000006
14,0,0.842,0.6528919999999987
15,0,0.282,-2.4416680000000004
16,0,0.749,0.13897399999999926
17,0,0.151,-3.1655740000000003
18,0,0.3,-2.3422
19,0,0.878,0.8518279999999994
20,0,0.454,-1.4911960000000004
21,1,0.678,-0.2533720000000006
22,0,0.097,-3.463978
23,0,0.032,-3.823168
24,0,0.206,-2.861644
25,0,0.335,-2.14879
26,0,0.305,-2.3145700000000007
27,1,0.98,1.4154799999999987
28,0,0.026,-3.856324
29,0,0.589,-0.7451860000000008
30,0,0.297,-2.3587780000000005
31,0,0.136,-3.2484640000000002
32,1,0.978,1.4044279999999985
33,1,0.957,1.2883819999999986
34,0,0.52,-1.1264800000000004
35,0,0.071,-3.607654
36,0,0.377,-1.9166980000000002
37,1,0.699,-0.13732600000000117
38,0,0.396,-1.8117040000000002
39,0,0.127,-3.298198
40,0,0.694,-0.164956000000001
41,0,0.887,0.9015619999999993
42,1,0.652,-0.39704800000000073
43,0,0.046,-3.745804
44,0,0.304,-2.3200960000000004
45,0,0.043,-3.762382
46,0,0.696,-0.15390400000000115
47,1,0.59,-0.7396600000000007
48,0,0.757,0.1831819999999995
49,1,0.631,-0.5130940000000006
50,0,0.058,-3.679492
51,0,0.499,-1.2425260000000007
52,0,0.571,-0.8446540000000007
53,0,0.246,-2.6406040000000006
54,0,0.636,-0.4854640000000008
55,0,0.719,-0.026806000000000996
56,0,0.509,-1.1872660000000006
57,1,0.856,0.7302559999999989
58,1,0.653,-0.3915220000000006
59,0,0.811,0.4815859999999992
60,0,0.576,-0.8170240000000009
61,1,0.912,1.0397119999999989
62,0,0.063,-3.651862
63,0,0.108,-3.403192
64,1,0.919,1.0783939999999994
65,0,0.204,-2.8726960000000004
66,0,0.609,-0.6346660000000006
67,0,0.069,-3.618706
68,1,0.818,0.5202679999999988
69,0,0.712,-0.0654880000000011
70,0,0.085,-3.53029
71,0,0.248,-2.6295520000000003
72,1,0.765,0.22738999999999887
73,0,0.285,-2.4250900000000004
74,1,0.982,1.426531999999999
75,0,0.012,-3.933688
76,0,0.273,-2.491402
77,0,0.445,-1.5409300000000004
78,1,0.966,1.3381159999999985
79,0,0.067,-3.629758
80,1,0.935,1.166809999999999
81,0,0.633,-0.5020420000000008
82,0,0.531,-1.0656940000000006
83,1,0.551,-0.9551740000000004
84,0,0.477,-1.3640980000000007
85,0,0.602,-0.6733480000000007
86,0,0.428,-1.6348720000000005
87,0,0.475,-1.3751500000000005
88,0,0.201,-2.8892740000000003
89,0,0.531,-1.0656940000000006
90,1,0.757,0.1831819999999995
91,1,0.81,0.4760599999999995
92,0,0.028,-3.845272
93,1,0.728,0.022927999999999393
94,0,0.01,-3.94474
95,0,0.401,-1.7840740000000004
96,0,0.488,-1.3033120000000005
97,0,0.273,-2.491402
98,0,0.124,-3.314776
99,0,0.628,-0.5296720000000006
